Taken_product,Yearly_avg_view_on_travel_page,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page,preferred_location_type_Beach,preferred_location_type_Big Cities,preferred_location_type_Entertainment,preferred_location_type_Financial,preferred_location_type_Hill Stations,preferred_location_type_Historical site,preferred_location_type_Medical,preferred_location_type_Other,preferred_location_type_Social media,preferred_location_type_Trekking
True,307.0,38570.0,1,2,94.0,5993,8,True,11,False,1,0.0,8.0,False,False,False,True,False,False,False,False,False,False
False,367.0,9765.0,1,1,61.0,5130,1,False,23,True,4,1.0,10.0,False,False,False,True,False,False,False,False,False,False
True,277.0,48055.0,1,2,92.0,2090,6,True,15,False,2,0.0,7.0,False,False,False,False,False,False,False,True,False,False
False,247.0,48720.0,1,4,56.0,2909,1,True,11,False,3,0.0,8.0,False,False,False,True,False,False,False,False,False,False
False,202.0,20685.0,1,1,40.0,3468,9,False,12,False,4,1.0,6.0,False,False,False,False,False,False,True,False,False,False
False,240.0,35175.0,1,2,79.0,3068,0,False,13,False,3,0.0,8.0,False,False,False,True,False,False,False,False,False,False
False,285.0,7560.0,23,3,44.0,9526,0,False,21,True,2,0.0,10.0,False,False,False,True,False,False,False,False,False,False
False,262.0,28315.0,16,3,84.0,2426,0,False,13,False,3,1.0,6.0,False,False,False,False,False,False,True,False,False,False
False,232.0,23450.0,26,1,31.0,2911,1,False,17,False,4,1.0,5.0,False,False,False,True,False,False,False,False,False,False
False,255.0,47110.0,19,2,93.0,2661,0,False,11,False,3,1.0,3.0,False,False,False,False,False,False,True,False,False,False
True,210.0,3605.0,24,3,50.0,2028,5,True,14,False,2,0.0,6.0,False,False,False,True,False,False,False,False,False,False
False,217.0,48615.0,21,4,51.0,9980,1,False,11,False,3,1.0,10.0,False,False,False,True,False,False,False,False,False,False
False,397.0,42665.0,1,4,78.0,15427,2,False,16,False,3,0.0,31.0,False,False,False,True,False,False,False,False,False,False
False,285.0,12985.0,1,3,45.0,3944,5,True,11,False,3,0.0,6.0,False,False,False,True,False,False,False,False,False,False
False,180.0,23555.0,11,2,96.0,4011,0,False,18,False,4,1.0,5.0,False,False,False,False,False,False,False,True,False,False
True,270.0,42630.0,1,4,82.0,3407,7,False,23,True,2,0.0,10.0,False,False,False,True,False,False,False,False,False,False
False,255.0,14665.0,1,4,53.0,11994,0,False,11,False,3,0.0,13.0,False,False,False,True,False,False,False,False,False,False
False,157.0,13685.0,15,2,96.0,1232,1,False,14,False,4,0.0,0.0,False,False,False,True,False,False,False,False,False,False
True,255.0,24465.0,1,1,83.0,2960,2,False,11,False,3,0.0,8.0,False,False,False,False,False,False,True,False,False,False
False,397.0,44870.0,1,3,58.0,19094,4,False,11,False,4,1.0,26.0,False,False,False,False,False,False,False,True,False,False
True,240.0,39375.0,16,1,72.0,3919,1,True,22,True,2,0.0,10.0,False,False,False,True,False,False,False,False,False,False
False,330.0,16695.0,1,4,42.0,10248,3,False,14,False,4,1.0,24.0,False,False,False,False,False,False,True,False,False,False
False,330.0,51065.0,10,4,41.0,6465,2,True,13,False,4,0.0,9.0,False,False,False,False,False,False,False,True,False,False
False,225.0,4375.0,1,2,83.0,2206,1,False,13,False,1,0.0,10.0,False,False,False,False,False,False,True,False,False,False
True,292.0,31325.0,1,3,56.0,2086,3,False,14,False,3,1.0,19.0,False,False,True,False,False,False,False,False,False,False
True,180.0,28455.0,1,3,61.0,2293,2,True,16,False,1,1.0,6.0,False,False,False,False,False,False,True,False,False,False
False,322.0,44555.0,1,2,72.0,2645,1,False,12,False,4,2.0,6.0,False,False,False,False,False,False,True,False,False,False
True,375.0,30415.0,1,2,86.0,2683,1,True,14,False,3,0.0,3.0,False,False,False,False,False,False,False,False,True,False
False,262.0,31150.0,1,3,97.0,2014,1,False,13,False,1,0.0,2.0,False,False,False,False,False,False,False,False,True,False
False,270.0,29820.0,1,4,82.0,3419,9,True,14,False,4,1.0,6.0,False,False,False,True,False,False,False,False,False,False
False,247.0,39935.0,1,3,42.0,5376,2,False,19,False,1,2.0,10.0,False,False,False,True,False,False,False,False,False,False
